method,recall,p50_us,p95_us,qps,build_s
"LC, 1T",0.9995,535.8335038181394,564.8749938700348,1856.3703253081544,1.6110222499992233
faiss.FlatIP 1T,1.0,455.0415033008903,513.4579987498,2189.969831618112,0.01653900000383146
faiss.FlatIP HW,1.0,471.3954986073077,486.4170041400939,2110.9236117231103,0.01653900000383146
faiss.IVFFlat np=10 1T,0.9315,63.02049587247893,77.3330102674663,15876.689016746008,0.04465829201217275
faiss.IVFFlat np=32 1T,0.988,176.83299665804952,195.4580075107515,5704.011823713026,0.04209387500304729
hnswlib ef=64 1T,0.993,353.2505070324987,435.24999637156725,2843.5261077668633,1.5590111659985268
hnswlib ef=128 1T,0.998,603.0000004102476,734.2919998336583,1663.0638628427284,1.559200540999882
